position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,min,max
100,Q552_3B,Q552_3B Signed a petition asking for action from the government,float64,1175,1231,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
101,Q521_1,Q521_1 Freedom to express opinions.,float64,2406,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
102,Q521_4,Q521_4 Freedom to participate in peaceful protests and demonstrations.,float64,2406,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
103,Q521_2A,Q521_2A Freedom of the media to criticize the things government does.,float64,1231,1175,5,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
104,Q521_2B,Q521_2B Freedom of the press,float64,1175,1231,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
105,Q521_6,Q521_6 Freedom of religion,float64,2406,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
106,Q514A,"Q514A There is talk about political reform in our country. Do you think we should introduce reforms little by little, all at once, or should there be no reforms at all?",float64,2406,0,5,"{""1"": ""Little by little"", ""2"": ""All at once"", ""3"": ""No reforms at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
107,Q516A,Q516A Which of these three statements is closest to your own opinion:,float64,2406,0,5,"{""1"": ""Type of gov doesn’t matter"", ""2"": ""Non-democratic gov sometimes preferable"", ""3"": ""Democracy always preferable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
108,Q550A_1,Q550A_1 Equality under the law,float64,1231,1175,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
109,Q550A_2,Q550A_2 There is no corruption,float64,1231,1175,6,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
110,Q550A_3,"Q550A_3 Basic necessities, like clean food and water, clothes, and shelter, are available for all.",float64,1231,1175,4,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,4.0
111,Q550A_4,Q550A_4 Ability to freely choose political leaders in elections,float64,1231,1175,6,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
112,Q550A_5,Q550A_5 Feeling safe from physical danger,float64,1231,1175,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
113,Q550A_6,Q550A_6 Basic civil rights are guaranteed,float64,1231,1175,6,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
114,Q550B_1,Q550B_1 Equality under the law,float64,1175,1231,4,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,4.0
115,Q550B_2,Q550B_2 There is no corruption,float64,1175,1231,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
116,Q550B_3,"Q550B_3 Basic necessities, like clean food and water, clothes, and shelter, are available for all.",float64,1175,1231,4,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,4.0
117,Q550B_4,Q550B_4 Ability to freely choose political leaders in elections,float64,1175,1231,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
118,Q550B_5,Q550B_5 Feeling safe from physical danger,float64,1175,1231,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
119,Q550B_6,Q550B_6 Basic civil rights are guaranteed,float64,1175,1231,5,"{""1"": ""Very essential"", ""2"": ""Somewhat essential"", ""3"": ""Not very essential"", ""4"": ""Not essential at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
120,Q551A,"Q551A Among the following, which is the main pillar of human dignity?",float64,1231,1175,8,"{""1"": ""Equality under the law"", ""2"": ""Absence of corruption"", ""3"": ""Access to basic needs"", ""4"": ""Freely elect political leaders"", ""5"": ""Safety from physical danger"", ""6"": ""Civil rights guaranteed"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
121,Q551B,"Q551B Among the following, which is the main pillar of democracy?",float64,1175,1231,8,"{""1"": ""Equality under the law"", ""2"": ""Absence of corruption"", ""3"": ""Access to basic needs"", ""4"": ""Freely elect political leaders"", ""5"": ""Safety from physical danger"", ""6"": ""Civil rights guaranteed"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
122,Q516_1,"Q516_1 Under a democratic system, the country’s economic performance is weak.",float64,1231,1175,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
123,Q516_2,Q516_2 Democratic regimes are indecisive and full of problems.,float64,1231,1175,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
124,Q516_3,Q516_3 Democratic systems are not effective at maintaining order and stability.,float64,1231,1175,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
125,Q516_4,"Q516_4 Democratic systems may have problems, yet they are better than other systems.",float64,1231,1175,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
126,Q516B_1,"Q516B_1 Under a non-democratic system, the country’s economic performance is weak.",float64,1175,1231,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
127,Q516B_2,Q516B_2 Non-democratic regimes are indecisive and full of problems.,float64,1175,1231,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
128,Q516B_3,Q516B_3 Non-democratic systems are not effective at maintaining order and stability.,float64,1175,1231,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
129,Q516B_4,"Q516B_4 Non-democratic systems may have problems, yet they are better than other systems.",float64,1175,1231,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
130,Q518_1,"Q518_1 A parliamentary system in which nationalist, left wing, right wing, and Islamist parties compete in parliamentary elections.",float64,2406,0,6,"{""1"": ""Very suitable"", ""2"": ""Suitable"", ""3"": ""Somewhat suitable"", ""4"": ""Not suitable at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
131,Q518_3,Q518_3 A political system governed by a strong authority which makes decisions without considering electoral results or the opinions of the opposition.,float64,2406,0,6,"{""1"": ""Very suitable"", ""2"": ""Suitable"", ""3"": ""Somewhat suitable"", ""4"": ""Not suitable at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
132,Q518_4,Q518A_4 A system governed by Islamic law in which there are no political parties or elections.,float64,2406,0,6,"{""1"": ""Very suitable"", ""2"": ""Suitable"", ""3"": ""Somewhat suitable"", ""4"": ""Not suitable at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
133,Q518_6,Q518_6 A government that provides for the needs of its citizens without giving them the right to participate in the political process,float64,2406,0,6,"{""1"": ""Very suitable"", ""2"": ""Suitable"", ""3"": ""Somewhat suitable"", ""4"": ""Not suitable at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
134,Q508,"Q508 In your opinion, to what extent is the United States of America a democratic country?",float64,2406,0,13,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",0.0,99.0
135,Q509,"Q509 In your opinion, to what extent is China a democratic country?",float64,2406,0,13,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",0.0,99.0
136,Q508B,"Q508B In your opinion, to what extent is Germany a democratic country?",float64,2406,0,13,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",0.0,99.0
137,Q511,"Q511 In your opinion, to what extent is  a democratic country?",float64,2406,0,13,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",0.0,99.0
138,Q512,Q512 What is an appropriate level of democracy for your country?,float64,2406,0,13,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",0.0,99.0
139,Q537A,Q537 How would you rate the state of democracy in  now compared with before the Arab Spring protests of 2010-2011?,float64,2406,0,7,"{""1"": ""Much more"", ""2"": ""Somewhat more"", ""3"": ""About the same"", ""4"": ""Somewhat less"", ""5"": ""Much less"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
140,Q533_4,Q533_4 Would you disapprove or approve of the following alternatives?,float64,2406,0,6,"{""1"": ""Strongly agree"", ""2"": ""Somewhat agree"", ""3"": ""Somewhat disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
141,Q301A,Q301A Do you vote in the last parliamentary elections?,float64,2406,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
142,Q301B,Q301B Will you vote in the next parliamentary election?,float64,0,2406,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
143,Q303A,"Q303A In general, how would you evaluate the last parliamentary elections?",float64,2406,0,5,"{""1"": ""Free and fair"", ""2"": ""Free, fair, minor problems"", ""3"": ""Not free or fair"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
144,Q303B_1,Q303B_1 Votes are counted fairly,float64,2406,0,6,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
145,Q303B_2,Q303B_2 Voters are bribed,float64,2406,0,6,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
146,Q303B_3,Q303B_3Voters are offered a genuine choice in elections,float64,2406,0,6,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
147,Q301C,Did you vote in the last local elections?,float64,0,2406,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
148,Q503A_2,"Q503A_2 Which party, if any, do you feel closest to?",float64,1175,1231,14,"{""0"": ""No party"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""10703"": ""KDP/PDK"", ""10704"": ""Al-Fatah Alliance"", ""10709"": ""Victory Alliance"", ""10801"": ""IAF"", ""10802"": ""Jordanian Communist"", ""10803"": ""JASBP"", ""10804"": ""HASHD"", ""10805"": ""Democratic Popular Unity"", ""10806"": ""Al-Mustaqbal"", ""10807"": ""Jordanian Progressive"", ""10808"": ""National Current Party"", ""10809"": ""Freedom Party (Al-Ahrar)"", ""101001"": ""Amal Movement"", ""101002"": ""Free Patriotic Movement"", ""101003"": ""Future Movement"", ""101004"": ""Hezbollah"", ""101005"": ""Kataeb"", ""101006"": ""Lebanese Forces"", ""101007"": ""Progressive Socialist"", ""101008"": ""Lebanese Democratic"", ""101009"": ""PNO"", ""101010"": ""FFS"", ""101201"": ""Union for Republic (UPR)"", ""101202"": ""National Rally for Reform and Development (RND)"", ""101203"": ""Union for Democracy and Progress (UDP)"", ""101204"": ""Union of the Forces of Progress (UFP)"", ""101205"": ""Mauritanian Party of Union and Change (HATEM)"", ""101206"": ""National Pact for Democracy and Development (ADIL)"", ""101207"": ""National Democractic Alliance (AND)"", ""101208"": ""Dignity and Action Party (DAP)"", ""101209"": ""People's Progressive Alliance (APP)"", ""101301"": ""PAM"", ""101302"": ""PJD"", ""101303"": ""Istiqlal Party"", ""101304"": ""RNI"", ""101305"": ""Popular Movement (MP)"", ""101306"": ""UC"", ""101307"": ""USFP"", ""101308"": ""PPSF"", ""101309"": ""MDS"", ""101501"": ""Fatah"", ""101502"": ""Hamas"", ""101503"": ""DFLP"", ""101504"": ""PNI"", ""101505"": ""PFLP"", ""101506"": ""FIDA"", ""101507"": ""Hizb Ut-Tahrir"", ""101509"": ""PIJ"", ""102101"": ""Ennahdha"", ""102102"": ""Afek Tounes"", ""102103"": ""Al Jomhouri"", ""102104"": ""PTT"", ""102105"": ""Nidaa Tounes"", ""102106"": ""Al Massar"", ""102107"": ""Popular Front (ej-Jabha)"", ""102108"": ""Congress for the Republic"", ""102109"": ""Ettakatol"", ""107010"": ""State of Law Coalition"", ""107011"": ""Nation Wisdom Movement"", ""107012"": ""National Forces Aliance"", ""107013"": ""Iraqi Shi'a Islamic National Movement"", ""107014"": ""Rights Movement"", ""107015"": ""Tishreen Movement"", ""107016"": ""Islamic Virture Party"", ""107017"": ""National Awareness Movement"", ""107018"": ""Al-Takadum Movement"", ""107019"": ""Azem Alliance"", ""107020"": ""Kadmon"", ""107021"": ""Patriotic Union of Kurdistan"", ""107022"": ""New Generation Movement"", ""107023"": ""Kurdistand Islamic Union"", ""107024"": ""Kurdistand Justice Group"", ""107025"": ""Kurdistand Social Democratic Party"", ""107026"": ""Iraqi Turkmen Front"", ""108010"": ""Zamzam"", ""1013010"": ""PSU"", ""1015010"": ""PPP"", ""1021010"": ""UPL""}",0.0,1021010.0
149,Q104,Q104. Some people decide to leave their countries to live somewhere else. Have you ever thought about emigrating from?,float64,2406,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
150,Q104B_TUN,Q104B_TUN. And are you preparing to emigrate?,float64,1021,1385,4,"{""1"": ""Yes"", ""2"": ""No"", ""3"": ""Maybe"", ""98"": ""Don’t know""}",1.0,98.0
151,Q104A_2_1,For economic reasons,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for economic reasons""}",0.0,1.0
152,Q104A_2_2,For political reasons,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for political reasons""}",0.0,1.0
153,Q104A_2_3,Religious reasons,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for religious reasons""}",0.0,1.0
154,Q104A_2_4,Security reasons,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for security reasons""}",0.0,1.0
155,Q104A_2_5,Education opportunities (for self or family members),float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for education opportunities""}",0.0,1.0
156,Q104A_2_6,Reunite with family,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to reunite with family""}",0.0,1.0
157,Q104A_2_7,Corruption,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate due to corruption""}",0.0,1.0
158,Q104A_2_90,Other- specify:,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate for other reasons""}",0.0,1.0
159,Q104A_2_98,Don’t know,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Don’t know""}",0.0,1.0
160,Q104A_2_99,Refused to answer,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Refused to answer""}",0.0,1.0
161,Q104B_1,Saudi Arabia,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Saudi Arabia""}",0.0,1.0
162,Q104B_2,The United Arab Emirates,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to the United Arab Emirates""}",0.0,1.0
163,Q104B_3,Qatar,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Qatar""}",0.0,1.0
164,Q104B_4,Bahrain,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Bahrain""}",0.0,1.0
165,Q104B_5,Kuwait,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Kuwait""}",0.0,1.0
166,Q104B_6,Oman,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Oman""}",0.0,1.0
167,Q104B_7,Egypt,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Egypt""}",0.0,1.0
168,Q104B_8,Jordan,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Jordan""}",0.0,1.0
169,Q104B_9,Lebanon,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Lebanon""}",0.0,1.0
170,Q104B_10,Morocco,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Morocco""}",0.0,1.0
171,Q104B_11,Algeria,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Algeria""}",0.0,1.0
172,Q104B_12,Tunisia,float64,0,2406,0,"{""0"": ""Other"", ""1"": ""Would emigrate to Tunisia""}",,
173,Q104B_13,Turkey,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Turkey""}",0.0,1.0
174,Q104B_14,The United States,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to the United States""}",0.0,1.0
175,Q104B_15,Canada,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Canada""}",0.0,1.0
176,Q104B_16,The United Kingdom,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to the United Kingdom""}",0.0,1.0
177,Q104B_17,Eastern Europe,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Eastern Europe""}",0.0,1.0
178,Q104B_18,France,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to France""}",0.0,1.0
179,Q104B_19,Germany,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Germany""}",0.0,1.0
180,Q104B_20,Spain,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Spain""}",0.0,1.0
181,Q104B_21,Italy,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Italy""}",0.0,1.0
182,Q104B_22,Other Western European countries,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to other parts of Western Europe""}",0.0,1.0
183,Q104B_23,Sub-Saharan Africa,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Sub-Saharan Africa""}",0.0,1.0
184,Q104B_24,China,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to China""}",0.0,1.0
185,Q104B_25,Australia,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to Australia""}",0.0,1.0
186,Q104B_90,Other- specify:,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Would emigrate to other countries""}",0.0,1.0
187,Q104B_98,Don’t know,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Don’t know""}",0.0,1.0
188,Q104B_99,Refused to answer,float64,1021,1385,2,"{""0"": ""Other"", ""1"": ""Refused to answer""}",0.0,1.0
189,Q104C,Q104C. Would you consider leaving  even if you didn’t have the required papers?,float64,1021,1385,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
190,Q1017,Q1017. Does your family receive remittances from any immediate or extended family member living abroad?,float64,2406,0,5,"{""1"": ""Yes, monthly"", ""2"": ""Yes, a few times a year"", ""3"": ""Yes, once a year"", ""4"": ""We do not receive anything"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
191,Q907,Q907. To what extent do you think migrants from other Arab countries are discriminated against in?,float64,2406,0,7,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""97"": ""Unaware of migrants from this region"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
192,Q905,Q905. To what extent do you think migrants from Sub Saharan Africa are discriminated against in?,float64,1231,1175,7,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""97"": ""Unaware of migrants from this region"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
193,Q906,Q906. To what extent do you think migrants from South Asia and Southeast Asia are discriminated against in your country?,float64,1175,1231,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""97"": ""Unaware of migrants from this region"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
194,Q916_1,Q916_1. To always have possession of their passports?,float64,2406,0,6,"{""1"": ""Strongly support"", ""2"": ""Somewhat support"", ""3"": ""Somewhat oppose"", ""4"": ""Strongly oppose"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
195,Q916_2,Q916_2. To have one day off per week guaranteed?,float64,2406,0,6,"{""1"": ""Strongly support"", ""2"": ""Somewhat support"", ""3"": ""Somewhat oppose"", ""4"": ""Strongly oppose"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
196,Q916_3,Q916_3. To have a bank account where they can receive their salaries?,float64,2406,0,6,"{""1"": ""Strongly support"", ""2"": ""Somewhat support"", ""3"": ""Somewhat oppose"", ""4"": ""Strongly oppose"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
197,Q869F,Q869F What do you think the chances that you or anyone in your family will not get a job while an equally or less qualified migrant receives one instead?,float64,2406,0,6,"{""1"": ""Very likely"", ""2"": ""Somewhat likely"", ""3"": ""Somewhat unlikely"", ""4"": ""Very unlikely"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
198,Q869G,Q869G What do you think the chances that you or anyone in your family will not get a job while an equally or less qualified refugee receives one instead?,float64,0,2406,0,"{""1"": ""Very likely"", ""2"": ""Somewhat likely"", ""3"": ""Somewhat unlikely"", ""4"": ""Very unlikely"", ""98"": ""Don’t know""}",,
199,Q1012,Q1012. What is your religion?,float64,2406,0,4,"{""1"": ""Muslim"", ""2"": ""Christian"", ""4"": ""No religion"", ""90"": ""Other"", ""99"": ""Refused to answer""}",1.0,99.0
200,Q1012A_MUSLIM,Q1012A_MUSLIM. What is your religious denomination?,float64,2403,3,9,"{""1"": ""Just a Muslim"", ""2"": ""Sunni"", ""3"": ""Shia"", ""4"": ""Hanbali"", ""5"": ""Shafi’i"", ""6"": ""Ja’fari"", ""7"": ""Druze"", ""9"": ""Alawi"", ""10"": ""Ibadi"", ""11"": ""Malki"", ""90"": ""Other"", ""99"": ""Refused to answer""}",1.0,99.0
201,Q1012A_CHRISTIAN,Q1012A_CHRISTIAN. What is your religious denomination?,float64,1,2405,1,"{""1"": ""Just a Christian"", ""2"": ""Maronite"", ""3"": ""Orthodox"", ""4"": ""Catholic"", ""5"": ""Armenian"", ""6"": ""Coptic"", ""7"": ""Protestant"", ""90"": ""Other"", ""99"": ""Refused to answer""}",1.0,1.0
202,Q1020JO2,,float64,0,2406,0,"{""1"": ""Jordanian"", ""2"": ""Palestinian"", ""3"": ""Both Jordaninan and Palestinian"", ""90"": ""Other"", ""99"": ""Refused to answer""}",,
203,Q1012B2,Q1012B2. Do you consider yourself…?,float64,2406,0,6,"{""1"": ""Arab"", ""2"": ""Kurd"", ""3"": ""Amazigh [Berber]"", ""4"": ""Turkmen"", ""5"": ""Tourag"", ""8"": ""Yazidi"", ""9"": ""Assyrian"", ""10"": ""Armenian"", ""11"": ""Circassian"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
204,Q1012C_MOR_1,,float64,0,2406,0,,,
205,Q1012C_MOR_2,,float64,0,2406,0,,,
206,Q1012C_MOR_3,,float64,0,2406,0,,,
207,Q1012C_MOR_4,,float64,0,2406,0,,,
208,Q1012C_MOR_90,,float64,0,2406,0,,,
209,Q1012C_MOR_98,,float64,0,2406,0,,,
210,Q1012C_MOR_99,,float64,0,2406,0,,,
211,Q609,"Q609. In general, would you describe yourself as religious, somewhat religious, or not religious?",float64,2406,0,5,"{""1"": ""Religious"", ""2"": ""Somewhat religious"", ""3"": ""Not religious"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
212,Q610_1,Q610_1. Pray daily,float64,2406,0,7,"{""1"": ""Always"", ""2"": ""Most of the time"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
